l,x,y
1,6.505653347372858,2.4470026048525195
0,-5.128942727142494,9.836188632573545
3,-8.850574529482925,6.4262685440128715
3,-10.286412098133335,5.9160591411221475
2,-7.468991948095482,-6.030507496254922
2,-6.132333586028008,-6.269739327842482
1,4.447517871446979,2.2747170262743444
3,-9.309366062254334,7.555572852856339
1,4.375222002990145,4.693338850530351
2,-6.06676507231231,-6.250480751352335
2,-7.806557662729353,-6.939634949337747
1,4.867338770832231,3.2803124382231603
1,5.722930079403378,3.0269717359756347
2,-7.3649907389803735,-6.798235453889624
2,-8.904769777808877,-6.693655278506519
2,-7.708622202073342,-7.440290633472916
0,-2.581207744633084,10.017819026090345
3,-9.660548152202441,7.567210126990616
2,-6.193367000776757,-8.492825464465598
2,-5.293610375005918,-8.117925092102796
2,-4.757470994138637,-5.8476443327247996
2,-7.354572502312227,-7.533438825849658
3,-8.515609196297921,6.4962919719463805
0,-2.4416694183648264,7.589537941984865
3,-8.156374785341047,7.013256158905247
0,-3.186119623358709,9.62596241703919
0,-3.6601912004750528,9.389984146543993
2,-7.031412286186853,-6.29179238679137
0,-2.300334028047995,7.054616004318546
1,3.4029281253500194,0.6527130708564557
2,-8.398997157105283,-7.364343666142198
2,-4.564968624477761,-8.747374785867695
3,-10.551462285726888,8.677395289664116
3,-9.663824953428522,7.002137073845709
0,-2.147802017544336,10.55232269466429
1,4.739530201315743,1.4696940298245327
3,-8.425396302360387,6.7597983626947284
1,5.226735930028371,4.16362530975071
3,-8.593361185527288,6.816579740127573
0,-2.4174368465172478,7.026717213597429
2,-8.079923598207046,-7.214610829116895
0,-3.317691225945938,8.512529084613785
2,-7.8611358421992215,-6.418006119012676
2,-5.247215887219635,-8.310250971236579
3,-9.656548439869482,9.415910191184164
1,5.2655461839931075,1.1160121275244494
1,3.750364406602578,1.1573593989752937
2,-6.809825106161251,-7.265423190137707
1,3.2622094682710103,1.035344644025609
0,-1.593795505350676,9.343037237858006
3,-6.648524823418338,6.5152246301435515
0,-3.053580347577933,9.125208717908187
3,-7.6588876359147235,6.854347263393999
1,5.430910783271148,1.063782229145993
0,-3.9877196134201776,8.294441919803614
0,-3.110904235282147,10.86656431270726
2,-4.746593816495004,-8.832197392798449
2,-7.13219534254443,-8.127892775240795
0,-3.2112507169301026,8.686623981600553
1,3.448575339025453,2.6297232925745617
3,-7.88790391844996,6.7466192598363
1,3.720454601994298,3.5231040889582714
2,-5.9800273157180195,-6.572810072399338
3,-8.8573439645387,6.320993550860894
3,-7.966007119915332,7.506864921237055
2,-6.6805674955778,-7.480326470434742
1,3.5775751225019965,2.4467621145759137
0,-1.686652710949561,7.793442478227299
3,-7.8632080232182595,7.176465533996565
0,-1.7707310430573397,9.185654409388292
0,-2.185113653657955,8.629203847782005
3,-8.614235274825594,7.336115316280498
0,-3.417221698573961,7.60198242686303
2,-7.5414136559196585,-6.0276762584797225
1,6.042673147164201,0.5713186211484511
2,-6.36459192394261,-6.366323642363738
1,3.5689863381669893,2.455642099183917
0,-2.978672008987702,9.556846171784287
2,-6.3645795048452225,-3.0273781026212254
0,-2.9883718608980403,8.828627151534505
0,-2.5226948477906843,7.956575199242421
1,4.853972580358305,0.727430905228744
2,-10.120894531220342,-7.904497234610236
3,-8.514161404147568,7.193379861131018
3,-8.741331791643292,7.918679940935617
3,-8.291230375465972,7.121330263064809
3,-8.833084056917826,7.370503509263445
0,-2.422150554814579,8.715278777732454
1,4.698087554674101,0.8301993861101089
3,-9.056008959863231,8.422299767485892
2,-6.834055351247456,-7.531709940881764
0,-3.9245683651031644,8.593640805432962
1,3.0892154051619687,2.0417326587467595
1,4.605167066522858,0.8044916463212
1,4.652880728106008,3.426703761098049
3,-9.556771977888447,7.110075763786856
0,-3.348415146275389,8.705073752347108
1,4.890371686573978,2.319617893437708
2,-6.435807763005042,-6.10547553984661
0,-2.9013057761849077,7.550771180066203
3,-7.532848949481681,7.3445267571314625
3,-9.288393228115254,7.946372847846202
0,-2.8519121395795195,8.212008858976702
2,-7.087749441508545,-7.373110527934779
0,-2.2130773459881743,9.275341400378212
1,4.41641605090225,2.687170178032824
3,-8.318981242394837,8.856261828501282
2,-7.194896435791616,-6.121140372782679
2,-5.7164634389963105,-6.8698765322563595
3,-10.432755415430378,6.724147892544931
1,4.899761630476525,2.7549925557180424
2,-6.374639912170813,-6.014354399105825
0,-2.1655793334842888,7.251245972835587
3,-8.148183764924898,6.922302443612867
0,-3.038957826819789,9.527553561311677
3,-10.962223480945816,6.797767893817942
3,-7.387184148840968,8.28279374158391
