x,y,z
-1.9276157469752704,9.019402658708115,4.149124510704126
-6.44364279411725,-4.089813538868344,0.48541882970089095
4.142840437665988,-9.224495342265461,9.424169986143536
-1.2637315297982978,-4.18477157426211,2.042798667903147
-8.165617733558522,8.120116228818402,1.766692396648583
3.910424443744603,-10.098926522649307,9.752375266889562
2.713141753385745,-6.840943037327461,-7.3107516939400785
-7.800529194613585,-3.599946181961201,-2.315072476405544
-7.050296873999674,-4.409196944799473,-2.713524470676989
5.084770053944742,-10.123352497247028,8.635434457777517
4.623768397377293,-9.558494929123864,9.0747286543871
-0.8979919260368889,-3.6927184537435758,2.8551232553506987
-1.5250469854141442,-4.097821854109672,2.6496070267814074
-9.378859420435958,7.631490718970835,2.3188508638483674
6.670758551997991,-5.826718787248721,-5.881561097460533
-8.263691093493172,6.9719347029357595,2.004805989615695
-9.581107943154496,7.457048048433332,2.467115632675894
-8.744944374397472,6.945831449322042,1.7165413333682016
-6.643234483798549,-3.817851413190624,0.12389333979573314
-7.333635637332161,-4.336277105306248,-2.9965340369437454
-6.301069878007338,-3.700746890643959,0.8416814362763293
-6.8116294212930635,-4.101258528844772,1.0395029424968503
-6.234717652142655,-4.091738287214589,0.6643705543756029
-1.1083645475743718,-3.6453122422897213,3.6168879139031285
6.761195178884378,-5.286922370497932,-7.072683522324503
7.016291709033345,-5.421777152100771,-5.776763727115325
-7.341568201563296,-4.1458740828896135,-2.399203576538561
7.754114316804111,-6.031963678938394,-7.048402145647526
-8.727260870819155,7.084148604666964,2.6501782976509363
-1.8078004675847006,8.31336059680218,4.933307383128237
6.855752364734185,-5.845861615873331,-6.4284110057247
4.843521770907831,-9.525697862759998,9.18349427267726
-2.4219087166368305,9.143061323559703,4.6026558783450175
3.8758620610295105,-9.302018723405872,10.097874761532887
6.281087844713553,-5.1351711988292585,-5.817845595560853
-0.983953962250898,-3.58096051030184,2.591209818048122
-5.749540125702738,-4.28245092920827,0.09000241413756677
-5.777059881953212,-3.710245812344989,0.37449980533548605
1.5482474992083362,-6.464459282879147,-7.30815150623038
6.422238791344798,-5.4050240627061195,-5.885848051572732
2.0110719630375953,-7.218208046907326,-6.392549726567071
-6.472573581490431,-3.8816597821968095,0.753098241496807
6.7825489730443875,-5.59236888333647,-6.697545882679512
2.0228358366553447,-6.503933629465376,-7.714812233836632
-8.7328190230347,7.2751663595635065,1.749840691459701
5.937947482637513,-5.002550960456734,-6.524840575279056
-2.051496564201713,9.178661683028164,4.374998734344582
-2.1297130128061164,8.627873520929535,4.521469532858097
-6.491436770764633,-4.31316806921099,1.0331322019440563
