label;x;y
3;-5.224638636223669;-6.044118002316974
2;-9.374501181136386;-1.4620986611383224
3;-3.01415296106602;-8.605601841602715
3;-1.7792757696549089;-8.803573337015088
2;-9.91558789514066;-1.9809301656049647
2;-8.981494639074535;-1.3206893120245395
1;-6.525936318741498;-8.542930858843162
0;-9.05297619854284;2.2793542270992546
3;-2.6850832519664363;-8.88103423282388
1;-4.740377320837268;-8.322546911735179
0;-9.37693980118664;0.9003309636981951
0;-9.574466805546283;2.243570840702223
2;-9.531146446826211;-1.324031185020202
2;-9.786133577170716;-2.561799107569436
2;-9.4395933577903;-2.28513485774708
3;-2.449671834075286;-8.474084406109993
2;-9.818445468206995;-2.436828162294084
3;-2.387956626479734;-9.287937988592468
3;-2.2657357044291;-9.896732333784325
2;-12.732132605075272;-6.867757898426184
2;-9.140416741820802;-1.8140505281397084
2;-9.106941271550156;-1.697646673203697
0;-8.869490595859652;1.5679124939297344
2;-9.328397658368075;-2.3632099800664603
0;-8.595974908777722;1.642601966409412
0;-9.363660793583046;1.8019132128306103
3;-2.1239301884929223;-9.527420161378648
1;-6.165763794860462;-9.076223764251283
1;-6.720133938472722;-8.446668177036134
2;-9.625828674757308;-1.5747308789905472
1;-1.485660732384054;-5.419537316769178
0;-8.578520593116437;0.9648452223249592
3;1.1457131218405705;-13.905230314780692
1;-5.331189892882361;-7.748690693402822
2;-9.634945891934262;-2.80038293639297
3;-3.0047734296797906;-8.950626870553714
1;-6.858736444771807;-8.322920559549544
0;-9.553928008917428;1.280110638544962
0;-8.968241377671632;1.46297356625573
0;-8.657080377488763;2.444586426341564
0;-9.177838660969948;1.4407000386673403
3;-2.7703900031758253;-8.661589920327913
2;-9.042291563482864;-1.6357279047453877
1;-5.204062709367993;-8.149291197216563
3;-2.765239668174561;-8.203235616239429
2;-9.88806691584526;-1.9618017358670692
1;-5.483660378721135;-8.446230021927887
0;-8.910868176045605;2.447875649330161
0;-8.750051444127136;2.1655069570574
2;-9.536877333804355;-1.6076315775565388
1;-5.925502940049665;-7.980192869656462
3;-2.635588378829697;-8.981699410080797
2;-9.509012375593118;-2.089280584246821
2;-9.333885565983293;-1.475416053866946
3;-2.242291998451865;-8.77365298969561
3;-2.958153575558617;-8.210971501537
2;-9.706358930642248;-1.8628235469305705
3;-2.7081326688288625;-8.254078309284433
2;-10.154190544636606;-2.441549417165825
2;-10.004139307323964;-2.5446658911396987
2;-9.514521135644117;-1.9277730089178209
0;-9.32960730055074;1.442867476325728
3;-1.1632357777067506;-9.456354416778144
3;-2.516626445608418;-8.458355769278066
2;-8.870504662885507;-2.5505048003624813
2;-9.224164068278002;-2.1817277935304986
1;-7.059082408343821;-8.65360546254857
0;-9.29907369235343;2.1220736088635257
1;-6.170937827424821;-7.834570611712284
2;-9.295516558506632;-2.0555176602436926
0;-8.535410254893563;2.400554482343249
2;-9.234683545746428;-1.5484619813940197
1;-5.753611530643683;-8.814218323767017
1;-5.830150487055802;-8.024060176813812
0;-9.58985179031184;1.928658033203411
0;-8.987287481550466;6.664820020351993
0;-9.442374977516158;2.442127178335185
3;-3.490378068833076;-9.447189179056604
3;-3.12968093119275;-8.269742102756243
2;-9.832441101783711;-1.5125765966982967
3;-3.216974284821368;-5.042297304507425
1;-3.552891295485459;-9.55413835465227
1;-4.639795575431751;-8.906847990711356
0;-7.11246968352134;4.167353777336175
1;-6.546535346783075;-8.474973230933243
3;-2.0884002853719554;-8.741610973236213
1;-6.20543788400483;-7.393172108172182
0;-8.415088935897712;2.5705693075997478
1;-5.6350633971115975;-8.317675063165053
2;-8.855123273342885;-2.521638212255826
2;-10.580423207901587;-6.053296993567223
3;-1.8004158555277765;-9.227722486227904
2;-4.634624430090661;-0.6613895153490035
1;-5.718407288031517;-8.256153512615299
2;-11.698640171784556;-5.467278085756154
2;-9.264336532757378;-0.861513070403358
0;-10.033958881455794;2.587943230427673
3;-1.9690344320129836;-9.781553646530194
1;-6.137385823492438;-7.781303233251776
1;-5.617699043077792;-7.593814010634976
3;-1.8700091789467992;-8.777083252635341
0;-9.531121330277257;1.190986368057588
3;-2.17702296267554;-9.861848163947291
0;-9.555766170935028;1.6968595357649034
3;-2.352712484363224;-8.75802595700434
3;-2.666574998084725;-9.218223743051553
1;-6.133749045125136;-9.365931179862311
0;-8.848853850315036;0.928173689026143
0;-10.16321059260412;1.064645003005232
1;-5.417526026864104;-8.575729299857954
0;-8.560283862210975;1.5919067635857125
2;-9.08466198534643;-1.7403049340659456
2;-10.128294729100316;-2.8627023837194057
0;-9.869289830532129;0.9616756700117052
1;-5.562901169773383;-8.935364301509347
3;-2.764330791389448;-9.107656441338188
0;-8.69645437078687;1.9495828299211704
3;-1.13394588637273;-5.328147233319125
0;-9.370748127274789;1.8484735996355328
