label,F0,F1,F2,F3
1,-7.42454627796022,-6.480973478923875,-8.875962459060858,8.426824797515225
7,1.7553471706272614,-9.310493667621795,3.2677308135587206,-6.403101356510123
5,2.252676228397193,-6.307845613172516,-5.064863209442557,-1.1534792104843972
6,-1.5854928836466295,6.559074886880985,-4.3570434625088845,1.3552993282514187
7,3.4570722329752233,-8.242762055415422,3.2417587086324646,-7.052457038279428
5,0.36731619475216926,-7.598643562142172,-3.9666831393705793,-2.2235444128411315
1,-6.400647365404878,-6.546447487988998,-7.800787812378111,6.813506516643956
0,-3.4838792932800717,9.801370731940773,5.798474415235505,1.1524873655890215
0,-2.125132174113443,8.981591380104229,2.5724367361882248,1.8840496444279435
1,-6.508481317779961,-7.484094779991767,-8.751737969163111,7.167845680106623
6,-1.3803845084708124,4.331053679976172,-5.683549853215138,0.223684796416849
2,2.7499297785011554,4.213397441728208,-8.855670036868371,9.317480463131304
7,1.7061448403003037,-8.732304427678356,3.180354519627124,-5.71720214622572
1,-6.552699817387108,-7.099210122084811,-8.008922175452522,5.1123876064908185
5,0.1500308758455211,-7.794740517616362,-4.188165962166539,-3.5824465511079997
7,2.8438728912428797,-7.367819135682007,0.5128679805927496,-8.375892991608856
0,-2.4606759951079233,8.183336011787283,4.91033566200794,1.9229315744915951
6,-1.48510370387502,6.159423423030976,-6.465614667051797,-0.40991160089091205
4,-4.143755056149264,-0.499220741963755,-3.9234332859529957,-4.36644495863933
0,-2.5439093927579934,7.845608090578789,5.782701650743122,2.7251027166275064
5,2.793611018981348,-8.545604356059055,-3.671070739878,-4.220067123064531
4,-4.564528179130671,1.8164326649177693,0.05850337735595201,-4.775840761777866
5,-0.2925021832467132,-7.506730246028961,-3.915785094378856,-3.823777217745673
3,6.808709208005836,-6.780892927360435,-5.097792814993287,-7.198084651145825
5,2.050161736285605,-8.840596030674304,-2.951112512748821,-1.8953557813616548
5,1.4945736619092058,-7.695428622327031,-2.926232516140902,-0.9877488554176566
1,-6.536901844773566,-6.423356374122163,-8.268560476403806,7.771231475516018
6,-0.5400474393733663,4.765593651323874,-5.789899381428187,-0.7410639153680447
