Male;Female;Age;Income(k);SpendingScore
0;1;0.2714285714285714;0.1094890510948905;0.3939393939393939
0;1;0.3;0.1094890510948905;0.8181818181818182
1;0;0.2857142857142857;0.1167883211678832;0.0606060606060606
1;0;0.3285714285714285;0.1167883211678832;0.7777777777777778
1;0;0.4428571428571428;0.1240875912408759;0.404040404040404
1;0;0.3142857142857143;0.1240875912408759;0.7676767676767676
1;0;0.5;0.1313868613138686;0.0606060606060606
1;0;0.3285714285714285;0.1313868613138686;0.9494949494949496
0;1;0.9142857142857144;0.1386861313868613;0.0303030303030303
1;0;0.4285714285714285;0.1386861313868613;0.7272727272727273
0;1;0.9571428571428572;0.1386861313868613;0.1414141414141414
1;0;0.5;0.1386861313868613;1.0
1;0;0.8285714285714286;0.145985401459854;0.1515151515151515
1;0;0.3428571428571428;0.145985401459854;0.7777777777777778
0;1;0.5285714285714286;0.145985401459854;0.1313131313131313
0;1;0.3142857142857143;0.145985401459854;0.797979797979798
1;0;0.5;0.1532846715328467;0.3535353535353535
0;1;0.2857142857142857;0.1532846715328467;0.6666666666666666
0;1;0.7428571428571429;0.1678832116788321;0.2929292929292929
1;0;0.5;0.1678832116788321;0.98989898989899
0;1;0.5;0.1751824817518248;0.3535353535353535
0;1;0.3571428571428571;0.1751824817518248;0.7373737373737373
1;0;0.6571428571428571;0.1824817518248175;0.0505050505050505
0;1;0.4428571428571428;0.1824817518248175;0.7373737373737373
1;0;0.7714285714285715;0.2043795620437956;0.1414141414141414
0;1;0.4142857142857143;0.2043795620437956;0.8282828282828283
1;0;0.6428571428571429;0.2043795620437956;0.3232323232323232
0;1;0.5;0.2043795620437956;0.6161616161616161
1;0;0.5714285714285714;0.2116788321167883;0.3131313131313131
1;0;0.3285714285714285;0.2116788321167883;0.8787878787878788
0;1;0.8571428571428571;0.218978102189781;0.0404040404040404
1;0;0.3;0.218978102189781;0.7373737373737373
0;1;0.7571428571428571;0.2408759124087591;0.0404040404040404
0;1;0.2571428571428571;0.2408759124087591;0.9292929292929292
1;0;0.7;0.2408759124087591;0.1414141414141414
1;0;0.3;0.2408759124087591;0.8181818181818182
1;0;0.6;0.2481751824817518;0.1717171717171717
1;0;0.4285714285714285;0.2481751824817518;0.7373737373737373
1;0;0.5142857142857142;0.2700729927007299;0.2626262626262626
1;0;0.2857142857142857;0.2700729927007299;0.7575757575757576
1;0;0.9285714285714286;0.2773722627737226;0.3535353535353535
0;1;0.3428571428571428;0.2773722627737226;0.9292929292929292
0;1;0.6857142857142857;0.2846715328467153;0.3636363636363636
1;0;0.4428571428571428;0.2846715328467153;0.6161616161616161
1;0;0.7;0.2846715328467153;0.2828282828282828
1;0;0.3428571428571428;0.2846715328467153;0.6565656565656566
1;0;0.7142857142857143;0.291970802919708;0.5555555555555556
1;0;0.3857142857142857;0.291970802919708;0.4747474747474747
1;0;0.4142857142857143;0.291970802919708;0.4242424242424242
1;0;0.4428571428571428;0.291970802919708;0.4242424242424242
1;0;0.7;0.3065693430656934;0.5252525252525253
0;1;0.4714285714285714;0.3065693430656934;0.6060606060606061
1;0;0.4428571428571428;0.3138686131386861;0.5454545454545454
0;1;0.8428571428571429;0.3138686131386861;0.6060606060606061
1;0;0.7142857142857143;0.3138686131386861;0.4545454545454545
0;1;0.6714285714285714;0.3138686131386861;0.4141414141414141
1;0;0.7285714285714285;0.3211678832116788;0.5050505050505051
0;1;0.9857142857142858;0.3211678832116788;0.4646464646464646
1;0;0.3857142857142857;0.3357664233576642;0.5151515151515151
0;1;0.7571428571428571;0.3357664233576642;0.4646464646464646
0;1;1.0;0.3357664233576642;0.5656565656565656
0;1;0.2714285714285714;0.3357664233576642;0.5555555555555556
1;0;0.9571428571428572;0.3430656934306569;0.5252525252525253
1;0;0.7714285714285715;0.3430656934306569;0.5959595959595959
0;1;0.9;0.3503649635036496;0.5151515151515151
0;1;0.2571428571428571;0.3503649635036496;0.5959595959595959
1;0;0.6142857142857143;0.3503649635036496;0.5050505050505051
1;0;0.9714285714285714;0.3503649635036496;0.4848484848484848
0;1;0.2714285714285714;0.3503649635036496;0.5959595959595959
1;0;0.4571428571428571;0.3503649635036496;0.4747474747474747
0;1;1.0;0.3576642335766423;0.5555555555555556
1;0;0.6714285714285714;0.3576642335766423;0.4242424242424242
1;0;0.8571428571428571;0.364963503649635;0.494949494949495
